Kabupaten/Kota;Tahun;IPM;Kemiskinan;PPK;TPT;AHH;LS;PDRB
Kepulauan Tanimbar;2017;61.64;27.47;5901;2419;63.06;8.99;20492
Kepulauan Tanimbar;2018;62.39;28.08;6032;2341;63.19;9.18;22101
Kepulauan Tanimbar;2019;62.86;27.25;6396;2414;63.34;9.55;23933
Kepulauan Tanimbar;2020;65.75;27.11;6297;256;63.42;9.68;21989
Maluku Tenggara;2017;64.94;23.87;7063;1817;64.61;9.17;27734
Maluku Tenggara;2018;65.53;23.27;7302;1072;64.77;9.27;2999
Maluku Tenggara;2019;65.85;22.75;7625;1013;64.95;9.5;32148
Maluku Tenggara;2020;68.57;22.57;7545;2288;65.07;9.73;26927
Maluku Tengah;2017;70.09;21.2;9672;14232;66.06;9.18;20337
Maluku Tengah;2018;70.6;20.11;9875;11449;66.19;9.29;21726
Maluku Tengah;2019;71.25;20.04;10298;11436;66.34;9.64;23111
Maluku Tengah;2020;73.2;19.83;10210;12892;66.42;9.67;20642
Buru;2017;67.61;17.4;9806;1995;66.03;7.67;15228
Buru;2018;68.25;17.03;10036;1612;66.16;7.99;16052
Buru;2019;68.91;16.74;10400;1742;66.32;8.46;17101
Buru;2020;70.55;16.64;10316;4538;66.41;8.52;17988
Kepulauan Aru;2017;62.13;27.13;7080;2384;62.34;8.39;32368
Kepulauan Aru;2018;63.12;27.12;7334;1055;62.52;8.4;34239
Kepulauan Aru;2019;63.64;26.73;7678;1719;62.73;8.71;37059
Kepulauan Aru;2020;66.88;26.26;7586;1748;62.87;8.82;34361
Seram Bagian Barat;2017;64.34;25.49;8121;5055;60.96;8.43;15367
Seram Bagian Barat;2018;65.14;25.62;8333;5403;61.2;8.47;16438
Seram Bagian Barat;2019;65.49;25.16;8704;4194;61.48;8.86;17418
Seram Bagian Barat;2020;69.68;25.11;8690;4626;61.69;8.87;14324
Seram Bagian Timur;2017;62.06;23.59;8848;4149;58.56;7.53;22596
Seram Bagian Timur;2018;62.98;23.62;9058;231;58.84;7.84;25183
Seram Bagian Timur;2019;63.74;23.13;9452;1715;59.16;8.22;25878
Seram Bagian Timur;2020;68.11;23.04;9453;1919;59.41;8.43;2125
Maluku Barat Daya;2017;60.16;30.18;6298;3036;61.62;7.85;19329
Maluku Barat Daya;2018;60.64;30.2;6508;1922;61.87;7.99;2089
Maluku Barat Daya;2019;61.55;29.43;6888;136;62.16;8.14;22441
Maluku Barat Daya;2020;64.66;29.15;6890;1314;62.38;8.35;20419
Buru Selatan;2017;62.75;16.83;7175;111;65.74;6.96;19674
Buru Selatan;2018;63.62;16.31;7337;773;65.92;7.13;20952
Buru Selatan;2019;64.42;16.13;7627;668;66.13;7.7;22716
Buru Selatan;2020;66.14;15.75;7566;698;66.27;7.94;18931
Ambon;2017;79.82;4.46;13497;25064;69.92;11.64;28832
Ambon;2018;80.24;4.72;13699;2383;70.12;11.65;29938
Ambon;2019;80.81;4.57;14233;25659;70.35;11.91;32663
Ambon;2020;81.69;4.51;14116;28032;70.52;11.92;42377
Tual;2017;66.25;24;6803;4474;64.61;9.76;29187
Tual;2018;67.21;23.42;7012;3124;64.89;9.87;30912
Tual;2019;67.74;22.68;7506;2655;65.21;10.26;33296
Tual;2020;70.24;22.51;7351;2874;65.47;10.52;28458
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
