tanggal_uji,nomor_kendaraan,merek,bahan_bakar,tipe,tahun_pembuatan,alat_uji,ket
2020-01-31,B9844TBA,CHEVROLET,Solar,LAINNYA,2012,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,BG9673CE,NISSAN,Solar,LAINNYA,2015,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B9135KWM,MITSUBISHI,Solar,LAINNYA,2013,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B9930TEH,HINO,Solar,TRUCK,2013,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B9500TCE,ISUZU,Solar,PICK UP,2013,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B9481UAG,ISUZU,Solar,PICK UP,2013,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B1219TW,TOYOTA,Bensin,MPV/ MINI BUS,2014,NEOMOTECH / CG 450 / 4N11D017,Lulus
2020-01-31,B2496BFO,DAIHATSU,Bensin,MPV/ MINI BUS,2015,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B1619VH,HONDA,Bensin,MPV/ MINI BUS,2014,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B2488BFO,DAIHATSU,Bensin,MPV/ MINI BUS,2015,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B2683PFM,HONDA,Bensin,MPV/ MINI BUS,2010,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B1667PJI,MITSUBISHI,Bensin,MPV/ MINI BUS,2014,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B1310PZG,TOYOTA,Bensin,MPV/ MINI BUS,2013,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B2207BIO,DAIHATSU,Bensin,MPV/ MINI BUS,2019,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2020-01-31,B2204BFR,TOYOTA,Bensin,MPV/ MINI BUS,2015,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
