tanggal_uji,nomor_kendaraan,merek,bahan_bakar,tipe,tahun_pembuatan,alat_uji,ket
2019-10-01,B9828FDD,TOYOTA,Solar,TRUCK,2017,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9353UFA,MITSUBISHI,Solar,TRUCK,2014,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9664UCS,MITSUBISHI,Solar,LAINNYA,2018,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9558UFA,HINO,Solar,TRUCK,2017,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9573UFA,HINO,Solar,LAINNYA,2017,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9572UFA,HINO,Solar,LAINNYA,2017,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B2560UKY,DAIHATSU,Bensin,MPV/ MINI BUS,2019,NEOMOTECH / CG 450 / 4N11D017,Lulus
2019-10-01,B9570UFA,MITSUBISHI,Solar,LAINNYA,2018,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9569UFA,MITSUBISHI,Solar,LAINNYA,2018,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9568UFA,MITSUBISHI,Solar,LAINNYA,2018,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9200UFA,MITSUBISHI,Solar,TRUCK,2012,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9567UFA,MITSUBISHI,Solar,TRUCK,2018,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9542UFA,MITSUBISHI,Solar,TRUCK,2017,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9566UFA,MITSUBISHI,Solar,TRUCK,2018,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9541UFA,MITSUBISHI,Solar,TRUCK,2017,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9565UFA,MITSUBISHI,Solar,TRUCK,2018,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9540UFA,MITSUBISHI,Solar,TRUCK,2017,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9539UFA,MITSUBISHI,Solar,TRUCK,2016,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9564UFA,MITSUBISHI,Solar,TRUCK,2018,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
2019-10-01,B9538UFA,MITSUBISHI,Solar,TRUCK,2016,BRAIN BEE / AGS 688 + OPA 100 / 110 90700 1175 + 110 40600 1054,Lulus
